house,casa,loger
dog,perro,chien
homework,tarea,devoirs
woman,mujer,femme
town,pueblo,ville
yes,si,Oui
Hello, Hola, Bonjour
Goodbye, Adiós, Au revoir
Thank you, Gracias, Merci
No, No, Non
Please, Por favor, S'il vous plaît
Sorry, Lo siento, Pardon
Love, Amor, Amour
Friend, Amigo, Ami
Family, Familia, Famille
Home, Casa, Maison
Food, Comida, Nourriture
Water, Agua, Eau
Book, Libro, Livre
Music, Música, Musique
Time, Tiempo, Temps
Money, Dinero, Argent
Work, Trabajo, Travail
Travel, Viajar, Voyager
Education, Educación, Éducation
Health, Salud, Santé
Happiness, Felicidad, Bonheur
Peace, Paz, Paix
Freedom, Libertad, Liberté
Justice, Justicia, Justice
Democracy, Democracia, Démocratie
Climate, Clima, Climat
Technology, Tecnología, Technologie
Nature, Naturaleza, Nature
Art, Arte, Art
Sport, Deporte, Sport
Fashion, Moda, Mode
Culture, Cultura, Culture
Language, Idioma, Langue
History, Historia, Histoire
Science, Ciencia, Science
Philosophy, Filosofía, Philosophie
Religion, Religión, Religion
